word,value
brokat,-4.0
broker,-3.0
bromocorah,-5.0
brutal,-5.0
bruto,-3.0
buah,-0.5
buah bibir,-2.0
buah dada,-3.0
buah hati,-3.0
buah simalakama,-3.0
bual,-4.0
bualan,-4.0
buang,-3.0
buang air,-5.0
buang air besar,-5.0
buang air kecil,-3.0
buang hajat,-5.0
buang nyawa,-5.0
buang-buang air,-5.0
buangan,-4.0
buari,-4.0
buas,-5.0
bubuk,-5.0
bucu,-3.0
budek,-3.0
bufer,-3.0
buhuk,-4.0
bujukan,-3.0
buka,0.0
bukan,-3.0
bukannya,-3.0
bukat,-4.0
bukti,-3.0
bulan,-1.0
bulan-bulanan,-4.0
bulat,-3.0
buletin,-3.0
bulevar,-4.0
bully,-5.0
bulsak,-4.0
buluh,-3.0
bulus,-5.0
buncah,-5.0
buncit,-3.0
bunda,-1.0
bundak,-3.0
bundel,-5.0
bunduk,-3.0
bunga,0.0
bunga hati,-3.0
bungkam,-1.5
bungsu,-3.0
buntang,-4.0
buntet,-2.0
bunting,-3.0
buntu,-3.0
buntung,-5.0
bunuh,-5.0
burai,-5.0
buram,-3.0
buras,-4.0
buru,-1.0
buru-buru,-1.0
buruk,-5.0
busuk,-5.0
busut,-4.0
buta,-3.0
buta hati,-4.0
butek,-3.0
butuh,-5.0
butut,-5.0
buyut,-3.0
bye,-3.0
caba,-4.0
cabar,-4.0
cabau,-3.0
cabe,-2.0
cabean,-3.0
cabik,-3.0
cabuh,-3.0
cabul,-5.0
cabut,-5.0
cacat,-5.0
cacatan,-5.0
cacau,-5.0
cacauan,-4.0
caci,-5.0
caci maki,-5.0
cacian,-5.0
cacing,-4.0
cacing es,-4.0
cacing gelang-gelang,-4.0
cacing gila,-4.0
cacing gilig,-4.0
cacing ginjal,-4.0
cacing hati,-2.0
cacing hitadid,-4.0
cacing jantung,-4.0
cacing kalung,-4.0
cacing karawit,-3.0
cacing kentar,-4.0
cacing keremi,-4.0
cacing palolo,-4.0
cacing pipih,-4.0
cacing pita,-4.0
cacing rambut kuda,-4.0
cacing tambang,-2.0
cacing tanah,-4.0
cadang,-1.5
cadas,-3.0
cagaran,-3.0
cahari,-3.0
caing,-3.0
cair,-1.0
cakap,-1.0
cakap angin,-4.0
cakus,-4.0
calar,-3.0
calit,-5.0
campak,-4.0
campakkan,-4.0
camping,-3.0
campur aduk,-2.0
canda,-3.0
candal,-5.0
candala,-5.0
candu,0.0
canggung,-4.0
cangkul,-4.0
cangkum,-3.0
cantik,-1.0
cantrik,0.0
capai,-0.5
capak,-4.0
cape,-4.0
capek,0.0
capit,-3.0
caplak,-4.0
caplok,0.0
cari,-3.0
cariin,-2.0
carik,-5.0
caruk,-4.0
carut,-5.0
catak,-4.0
catut,-3.0
cebik,-3.0
cebur,-5.0
cecap,-5.0
cecer,-3.0
ceceran,-3.0
cecunguk,-5.0
cedayam,0.0
cedera,-4.0
cedih,-3.0
cegah,0.0
cegak,-1.5
cegat,-3.0
cek,-4.0
cekah,-4.0
cekak,-3.0
cekang,-3.0
cekat,-1.0
cekatan,-0.5
cekau,-2.0
ceker,-3.0
cekluk,-4.0
cekok,-3.0
ceku,-5.0
cekuh,-3.0
cekung,-4.0
cela,-4.0
celaan,-5.0
celah,-3.0
celaka,-5.0
celampak,-3.0
celemotan,-4.0
celetuk,-5.0
celih,-4.0
celomes,-4.0
celomok,-4.0
celonok,-3.0
celopar,-4.0
celoteh,-4.0
celuk,-3.0
cema,-5.0
cemar,-5.0
cemas,-3.0
cemat,-5.0
cemberut,-4.0
cembung,-3.0
cemburu,-5.0
cemeeh,-4.0
cemeh,-4.0
cemeti dewa,-2.0
cemomot,-4.0
cemong,-4.0
cemooh,-5.0
cemoohan,-4.0
cempala mulut,-5.0
cempek,-4.0
cempelung,-5.0
cempeng,-4.0
cempera,-5.0
cemplung,-1.5
cempung,-4.0
cemuas,-4.0
cena,-3.0
cencala,-5.0
cendala,-5.0
cendekia,-0.5
cenderung,-2.0
cengang,-1.0
cengeng,-4.0
cengger,-3.0
cengkedi,-4.0
