word,big
bergelora,-0.36999999999999994
bergelut,-0.8
bergema,-0.4
bergemam,-0.6
bergembung,-0.6
bergemuruh,-0.6
bergenang,-0.63
bergerak,-0.75
bergerombol,-0.8
bergerombolan berkawanan,-0.8
bergesek,-0.6
bergesel,-0.6
bergeser,-0.8
bergetar,-0.3
bergolak,-0.815
bergontok,-0.8
bergosok,-0.6
bergosokan,-0.6
bergoyah,-0.8
berguam,-0.8
berguguran,-0.6
bergulat,-0.8
bergulir,-0.6
bergumam,-0.6
bergumul,-0.8
berguncang,-1.0
bergundang,-1.0
bergurau senda,-0.8
berguyub,-0.6
berhala,-0.8
berhamburan,-1.0
berhandai-handai,-0.6
berhantaran,-1.0
berhanyut,-0.8
berhati pilu,-0.75
berhati walang,-0.6
berhelat,-0.8
berhenti (tugas),-0.4
berhimpun,-0.8
berhujah,-0.8
beri (uang),-0.4
beri uang,-0.4
beringas,-0.8
beringsut,-0.6
berita,-0.8
berjaga,-0.5
berjarak,-0.8
berjatuhan,-0.3
berjauh hati,-0.6
berjejak,-0.6
berjejal,-0.6
berjejal-jejal,-0.6
berjejas,-1.0
berjerih,-0.5
berjubal,-0.6
berjumbai,-0.75
berkabung,-1.0
berkabut,-0.55
berkalang tanah,-0.4
berkarat,-0.525
berkarut,-1.0
berkasih-kasihan,-0.6
berkawan,-0.6
berkawanan,-0.8
berkeberatan,-0.775
berkecai,-1.0
berkecamuk,-0.8
berkecandan,-0.8
berkecenderungan,-0.6
berkecuali,-0.75
berkejaran,-0.6
berkelakar,-0.8
berkelir,-0.6
berkelok-kelok,-0.4
berkelompok-kelompok,-0.8
berkeluarga,-0.4
berkemal,-0.8
berkemam,-0.6
berkemandang,-0.6
berkemas-kemas,-0.4
berkembang biak,-0.6
berkemih,-0.6
berkenalan,-0.6
berkeping-keping,-1.0
berkerak,-0.4
berkeras,-0.69
berkeras-kerasan,-0.8
berkerubung,-0.8
berkerumun,-0.8
berkerut,-0.4
berketakutan,-0.63
berketar-ketar,-0.6
berkhianat,-1.0
berkilah,-0.8
berkisar,-0.6
berkolusi,-1.0
berkomplot,-0.8
berkongkalikong,-0.8
berkonspirasi,-0.8
berkorban,-0.6
berkuat,-0.4
berkuliah,-0.8
berkumandang,-0.6
berkunjung,-0.8
berkupak,-0.6
berkurang,-0.55
berkurangan,-0.6
berkurap,-0.8
berkutu,-0.63
berlabuh,-0.4
berlaga,-0.8
berlainan,-0.6000000000000001
berlalu,-1.0
berlalu dr dunia,-1.0
berlama-lama,-0.4
berlandaskan,-0.8
berlangau,-0.8
berlanggaran,-0.8
berlara-lara,-0.8
berlarat-larat,-0.8
berlarian,-1.0
berlawanan,-0.525
berlebih,-0.3666666666666667
berlebih-lebih,-0.8
berlebih-lebihan,-0.5
berlebihan,-0.5
berlelehan,-0.6
berlengkesa,-0.6
berlepasan,-0.6
berlibat-libat,-0.8
berlik,-0.8
berliku-liku,-0.8
berlinang,-0.6
berlipat,-0.6
berlipat ganda,-0.6
berlompatan,-1.0
berlubang,-0.6
berlumar,-0.75
berlumpur,-0.88
berluruhan,-0.6
berlutut,-0.4
bermain-main,-0.4
bermalas-malas,-0.63
bermegah,-0.75
bermesraan,-0.6
bermetamorfosis,-0.6
berminyak,-0.88
bermoral,-0.525
bermotif,-0.6
bermukah,-0.8
bermukim,-0.4
bermula,-0.8
